questionId,title,difficulty,dislikes,likes,nAccepted,nSubmissions,accRate,topicTags,similarQuestions
916,Word Subsets,Medium,113,772,45.1K,85.5K,52.7%,"['Array', 'Hash Table', 'String']",[]
917,Reverse Only Letters,Easy,45,916,86.8K,145.9K,59.5%,"['String', 'Two Pointers']",[]
918,Maximum Sum Circular Subarray,Medium,78,1766,73.9K,213K,34.7%,"['Array', 'Divide and Conquer', 'Dynamic Programming', 'Monotonic Queue', 'Queue']",[]
919,Complete Binary Tree Inserter,Medium,65,491,25.8K,43K,60.0%,"['Binary Tree', 'Breadth-First Search', 'Design', 'Tree']",[]
920,Number of Music Playlists,Hard,60,580,15.2K,31.4K,48.4%,"['Combinatorics', 'Dynamic Programming', 'Math']",[]
921,Minimum Add to Make Parentheses Valid,Medium,89,1371,111.9K,148.2K,75.5%,"['Greedy', 'Stack', 'String']",[]
922,Sort Array By Parity II,Easy,59,1148,134.6K,190.4K,70.7%,"['Array', 'Sorting', 'Two Pointers']",[]
923,3Sum With Multiplicity,Medium,128,738,41.3K,100.7K,41.0%,"['Array', 'Counting', 'Hash Table', 'Sorting', 'Two Pointers']",[]
924,Minimize Malware Spread,Hard,348,454,32K,76.5K,41.8%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Matrix', 'Union Find']",[]
925,Long Pressed Name,Easy,198,1128,71K,196.2K,36.2%,"['String', 'Two Pointers']",[]
926,Flip String to Monotone Increasing,Medium,26,829,28.8K,53.6K,53.8%,"['Dynamic Programming', 'String']",[]
927,Three Equal Parts,Hard,67,327,9.8K,28.2K,34.8%,"['Array', 'Math']",[]
928,Minimize Malware Spread II,Hard,63,321,13.1K,31.6K,41.5%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Matrix', 'Union Find']",[]
929,Unique Email Addresses,Easy,225,1241,269.3K,400.9K,67.2%,"['Array', 'Hash Table', 'String']",[]
930,Binary Subarrays With Sum,Medium,35,917,34.5K,75.1K,46.0%,"['Array', 'Hash Table', 'Prefix Sum', 'Sliding Window']",[]
931,Minimum Falling Path Sum,Medium,85,1352,79.6K,123.2K,64.6%,"['Array', 'Dynamic Programming', 'Matrix']","[('Minimum Falling Path Sum II', 'Hard')]"
932,Beautiful Array,Medium,619,512,16.8K,27.3K,61.6%,"['Array', 'Divide and Conquer', 'Math']",[]
933,Number of Recent Calls,Easy,2252,617,105.7K,145.5K,72.6%,"['Data Stream', 'Design', 'Queue']",[]
934,Shortest Bridge,Medium,95,1531,56.8K,111.9K,50.8%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Matrix']",[]
935,Knight Dialer,Medium,307,945,54.6K,115.4K,47.3%,['Dynamic Programming'],[]
936,Stamping The Sequence,Hard,114,458,22.6K,42.3K,53.3%,"['Greedy', 'Queue', 'Stack', 'String']",[]
937,Reorder Data in Log Files,Easy,3068,1187,222.2K,402.8K,55.2%,"['Array', 'Sorting', 'String']",[]
938,Range Sum of BST,Easy,301,2630,406.5K,486.4K,83.6%,"['Binary Search Tree', 'Binary Tree', 'Depth-First Search', 'Tree']",[]
939,Minimum Area Rectangle,Medium,185,1052,74K,140.5K,52.7%,"['Array', 'Geometry', 'Hash Table', 'Math', 'Sorting']",[]
940,Distinct Subsequences II,Hard,19,613,15.6K,37.8K,41.3%,"['Dynamic Programming', 'String']",[]
941,Valid Mountain Array,Easy,102,1083,176.7K,541.4K,32.6%,['Array'],"[('Minimum Number of Removals to Make Mountain Array', 'Hard')]"
942,DI String Match,Easy,499,1254,86.6K,116.6K,74.3%,"['Array', 'Greedy', 'Math', 'String', 'Two Pointers']",[]
943,Find the Shortest Superstring,Hard,112,796,21K,45.8K,45.9%,"['Array', 'Bit Manipulation', 'Bitmask', 'Dynamic Programming', 'String']",[]
944,Delete Columns to Make Sorted,Easy,1891,270,56.6K,80.2K,70.6%,"['Array', 'String']",[]
945,Minimum Increment to Make Array Unique,Medium,31,722,39.9K,84.1K,47.4%,"['Array', 'Counting', 'Greedy', 'Sorting']",[]
946,Validate Stack Sequences,Medium,36,1889,109.8K,170.2K,64.5%,"['Array', 'Simulation', 'Stack']",[]
947,Most Stones Removed with Same Row or Column,Medium,473,1665,77.3K,138.1K,56.0%,"['Depth-First Search', 'Graph', 'Union Find']",[]
948,Bag of Tokens,Medium,272,541,34.8K,75.5K,46.1%,"['Array', 'Greedy', 'Sorting', 'Two Pointers']",[]
949,Largest Time for Given Digits,Medium,846,472,63.2K,175.5K,36.0%,"['Enumeration', 'String']",[]
950,Reveal Cards In Increasing Order,Medium,228,1408,48.6K,64K,75.9%,"['Array', 'Queue', 'Simulation', 'Sorting']",[]
951,Flip Equivalent Binary Trees,Medium,58,1135,81.4K,123.3K,66.0%,"['Binary Tree', 'Depth-First Search', 'Tree']",[]
952,Largest Component Size by Common Factor,Hard,69,611,27.1K,74.2K,36.5%,"['Array', 'Math', 'Union Find']",[]
953,Verifying an Alien Dictionary,Easy,747,1898,257.6K,493.7K,52.2%,"['Array', 'Hash Table', 'String']",[]
954,Array of Doubled Pairs,Medium,65,466,26.1K,74.9K,34.9%,"['Array', 'Greedy', 'Hash Table', 'Sorting']",[]
955,Delete Columns to Make Sorted II,Medium,56,361,13.2K,38.9K,34.0%,"['Array', 'Greedy', 'String']",[]
956,Tallest Billboard,Hard,19,497,10.6K,26.6K,39.8%,"['Array', 'Dynamic Programming']",[]
957,Prison Cells After N Days,Medium,1349,1048,126.6K,316.5K,40.0%,"['Array', 'Bit Manipulation', 'Hash Table', 'Math']",[]
958,Check Completeness of a Binary Tree,Medium,19,1404,86.8K,164.8K,52.6%,"['Binary Tree', 'Breadth-First Search', 'Tree']",[]
959,Regions Cut By Slashes,Medium,291,1476,29.1K,43K,67.7%,"['Breadth-First Search', 'Depth-First Search', 'Graph', 'Union Find']",[]
960,Delete Columns to Make Sorted III,Hard,9,341,8.8K,15.7K,55.6%,"['Array', 'Dynamic Programming', 'String']",[]
961,N-Repeated Element in Size 2N Array,Easy,267,698,154.3K,205.9K,74.9%,"['Array', 'Hash Table']",[]
962,Maximum Width Ramp,Medium,25,834,26.9K,57.4K,46.9%,"['Array', 'Monotonic Stack', 'Stack']",[]
963,Minimum Area Rectangle II,Medium,337,241,18.5K,34.7K,53.2%,"['Array', 'Geometry', 'Math']",[]
964,Least Operators to Express Number,Hard,56,220,6.7K,14.7K,45.5%,"['Dynamic Programming', 'Math']",[]
965,Univalued Binary Tree,Easy,52,908,127.7K,187.4K,68.1%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Tree']","[('Find All The Lonely Nodes', 'Easy')]"
966,Vowel Spellchecker,Medium,661,304,32.4K,62.6K,51.8%,"['Array', 'Hash Table', 'String']",[]
967,Numbers With Same Consecutive Differences,Medium,127,720,45K,98K,45.9%,"['Backtracking', 'Breadth-First Search']",[]
968,Binary Tree Cameras,Hard,29,1899,49.2K,120.7K,40.8%,"['Binary Tree', 'Depth-First Search', 'Dynamic Programming', 'Tree']","[('Distribute Coins in Binary Tree', 'Medium')]"
969,Pancake Sorting,Medium,1067,846,62.6K,90.7K,69.0%,"['Array', 'Greedy', 'Sorting', 'Two Pointers']",[]
970,Powerful Integers,Medium,56,167,43K,99K,43.4%,"['Hash Table', 'Math']",[]
971,Flip Binary Tree To Match Preorder Traversal,Medium,220,579,31.2K,62.5K,49.9%,"['Binary Tree', 'Depth-First Search', 'Tree']",[]
972,Equal Rational Numbers,Hard,164,58,4.8K,11.3K,42.2%,"['Math', 'String']",[]
973,K Closest Points to Origin,Medium,167,3366,502.1K,771.5K,65.1%,"['Array', 'Divide and Conquer', 'Geometry', 'Heap (Priority Queue)', 'Math', 'Quickselect', 'Sorting']","[('Find Nearest Point That Has the Same X or Y Coordinate', 'Easy'), ('Kth Largest Element in an Array', 'Medium'), ('Top K Frequent Elements', 'Medium'), ('Top K Frequent Words', 'Medium')]"
974,Subarray Sums Divisible by K,Medium,122,1822,65.6K,126.9K,51.7%,"['Array', 'Hash Table', 'Prefix Sum']","[('Make Sum Divisible by P', 'Medium'), ('Subarray Sum Equals K', 'Medium')]"
975,Odd Even Jump,Hard,304,1023,44.4K,108K,41.1%,"['Array', 'Dynamic Programming', 'Monotonic Stack', 'Ordered Set', 'Stack']",[]
976,Largest Perimeter Triangle,Easy,59,578,48.8K,82K,59.5%,"['Array', 'Greedy', 'Math', 'Sorting']","[('Largest Triangle Area', 'Easy')]"
977,Squares of a Sorted Array,Easy,117,2693,529.2K,739.8K,71.5%,"['Array', 'Sorting', 'Two Pointers']","[('Merge Sorted Array', 'Easy'), ('Sort Transformed Array', 'Medium')]"
978,Longest Turbulent Subarray,Medium,133,715,42.6K,91.1K,46.8%,"['Array', 'Dynamic Programming', 'Sliding Window']","[('Maximum Subarray', 'Easy')]"
979,Distribute Coins in Binary Tree,Medium,86,2690,62.7K,89.3K,70.3%,"['Binary Tree', 'Depth-First Search', 'Tree']","[('Binary Tree Cameras', 'Hard'), ('Sum of Distances in Tree', 'Hard')]"
980,Unique Paths III,Hard,96,1628,75.5K,97.9K,77.2%,"['Array', 'Backtracking', 'Bit Manipulation', 'Matrix']","[('Sudoku Solver', 'Hard'), ('Unique Paths II', 'Medium'), ('Word Search II', 'Hard')]"
981,Time Based Key-Value Store,Medium,158,1367,119.6K,220.1K,54.3%,"['Binary Search', 'Design', 'Hash Table', 'String']",[]
982,Triples with Bitwise AND Equal To Zero,Hard,165,169,10.5K,18.4K,56.8%,"['Array', 'Bit Manipulation', 'Hash Table']",[]
983,Minimum Cost For Tickets,Medium,60,3132,108.7K,172.4K,63.0%,"['Array', 'Dynamic Programming']","[('Coin Change', 'Medium')]"
984,String Without AAA or BBB,Medium,299,332,23.9K,61K,39.2%,"['Greedy', 'String']",[]
985,Sum of Even Numbers After Queries,Easy,196,570,56.9K,94.2K,60.5%,"['Array', 'Simulation']",[]
986,Interval List Intersections,Medium,66,2483,194.7K,282.4K,69.0%,"['Array', 'Two Pointers']","[('Employee Free Time', 'Hard'), ('Merge Intervals', 'Medium'), ('Merge Sorted Array', 'Easy')]"
987,Vertical Order Traversal of a Binary Tree,Hard,2606,1733,150K,381.6K,39.3%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Hash Table', 'Tree']",[]
988,Smallest String Starting From Leaf,Medium,131,710,40.1K,84.7K,47.3%,"['Binary Tree', 'Depth-First Search', 'String', 'Tree']","[('Binary Tree Paths', 'Easy'), ('Sum Root to Leaf Numbers', 'Medium')]"
989,Add to Array-Form of Integer,Easy,104,682,76.9K,170.8K,45.0%,"['Array', 'Math']","[('Add Binary', 'Easy'), ('Add Strings', 'Easy'), ('Add Two Numbers', 'Medium'), ('Plus One', 'Easy')]"
990,Satisfiability of Equality Equations,Medium,8,925,31.4K,65.8K,47.7%,"['Array', 'Graph', 'String', 'Union Find']",[]
991,Broken Calculator,Medium,134,927,43.8K,87.9K,49.8%,"['Greedy', 'Math']","[('2 Keys Keyboard', 'Medium')]"
992,Subarrays with K Different Integers,Hard,29,1949,48.7K,94.4K,51.6%,"['Array', 'Counting', 'Hash Table', 'Sliding Window']","[('Longest Substring Without Repeating Characters', 'Medium'), ('Longest Substring with At Most K Distinct Characters', 'Medium'), ('Longest Substring with At Most Two Distinct Characters', 'Medium')]"
993,Cousins in Binary Tree,Easy,94,1671,155.5K,296.7K,52.4%,"['Binary Tree', 'Breadth-First Search', 'Depth-First Search', 'Tree']","[('Binary Tree Level Order Traversal', 'Medium')]"
994,Rotting Oranges,Medium,221,3708,229.1K,459K,49.9%,"['Array', 'Breadth-First Search', 'Matrix']","[('Walls and Gates', 'Medium')]"
995,Minimum Number of K Consecutive Bit Flips,Hard,45,589,21.1K,42K,50.4%,"['Array', 'Bit Manipulation', 'Prefix Sum', 'Sliding Window']","[('Bulb Switcher', 'Medium')]"
996,Number of Squareful Arrays,Hard,23,519,20.3K,41.8K,48.6%,"['Array', 'Backtracking', 'Bit Manipulation', 'Bitmask', 'Dynamic Programming', 'Math']","[('Permutations II', 'Medium')]"
997,Find the Town Judge,Easy,138,1766,179.8K,360.3K,49.9%,"['Array', 'Graph', 'Hash Table']","[('Find the Celebrity', 'Medium')]"
998,Maximum Binary Tree II,Medium,545,282,22.5K,34.8K,64.5%,"['Binary Tree', 'Tree']","[('Maximum Binary Tree', 'Medium')]"
999,Available Captures for Rook,Easy,518,350,43.5K,64.3K,67.7%,"['Array', 'Matrix', 'Simulation']",[]
1000,Minimum Cost to Merge Stones,Hard,65,1042,21.6K,52.6K,41.0%,"['Array', 'Dynamic Programming']","[('Burst Balloons', 'Hard'), ('Minimum Cost to Connect Sticks', 'Medium')]"
1001,Grid Illumination,Hard,85,298,12.4K,34.7K,35.8%,"['Array', 'Hash Table']","[('N-Queens', 'Hard')]"
1002,Find Common Characters,Easy,152,1645,114.5K,166.6K,68.7%,"['Array', 'Hash Table', 'String']","[('Intersection of Two Arrays II', 'Easy')]"
1003,Check If Word Is Valid After Substitutions,Medium,402,405,33K,57.8K,57.1%,"['Stack', 'String']","[('Valid Parentheses', 'Easy')]"
1004,Max Consecutive Ones III,Medium,41,2730,131.7K,216.6K,60.8%,"['Array', 'Binary Search', 'Prefix Sum', 'Sliding Window']","[('Longest Repeating Character Replacement', 'Medium'), ('Longest Substring with At Most K Distinct Characters', 'Medium'), ('Max Consecutive Ones', 'Easy'), ('Max Consecutive Ones II', 'Medium')]"
1005,Maximize Sum Of Array After K Negations,Easy,61,643,41.1K,78.6K,52.3%,"['Array', 'Greedy', 'Sorting']",[]
1006,Clumsy Factorial,Medium,184,130,16.9K,31.3K,54.1%,"['Math', 'Simulation', 'Stack']",[]
1007,Minimum Domino Rotations For Equal Row,Medium,196,1328,124.8K,244.9K,51.0%,"['Array', 'Greedy']",[]
1008,Construct Binary Search Tree from Preorder Traversal,Medium,50,2127,171.2K,216.9K,78.9%,"['Array', 'Binary Search Tree', 'Binary Tree', 'Monotonic Stack', 'Stack', 'Tree']",[]
1009,Complement of Base 10 Integer,Easy,45,486,67.4K,110K,61.2%,['Bit Manipulation'],[]
1010,Pairs of Songs With Total Durations Divisible by 60,Medium,88,1522,110.4K,215.5K,51.2%,"['Array', 'Counting', 'Hash Table']",[]
1011,Capacity To Ship Packages Within D Days,Medium,61,2404,81.2K,133.9K,60.7%,"['Array', 'Binary Search', 'Greedy']","[('Cutting Ribbons', 'Medium')]"
1012,Numbers With Repeated Digits,Hard,55,309,7.5K,19.7K,38.0%,"['Dynamic Programming', 'Math']",[]
1013,Partition Array Into Three Parts With Equal Sum,Easy,93,784,50.2K,107.3K,46.7%,"['Array', 'Greedy']",[]
1014,Best Sightseeing Pair,Medium,27,675,24K,45.1K,53.2%,"['Array', 'Dynamic Programming']",[]
1015,Smallest Integer Divisible by K,Medium,397,390,28.2K,67.2K,42.0%,"['Hash Table', 'Math']",[]
1016,Binary String With Substrings Representing 1 To N,Medium,417,188,23.8K,40.7K,58.5%,['String'],[]
1017,Convert to Base -2,Medium,196,264,15.1K,25.5K,59.4%,['Math'],"[('Encode Number', 'Medium')]"
1018,Binary Prefix Divisible By 5,Easy,123,420,33.3K,70.1K,47.5%,['Array'],[]
1019,Next Greater Node In Linked List,Medium,78,1530,76.8K,131.6K,58.4%,"['Array', 'Linked List', 'Monotonic Stack', 'Stack']",[]
1020,Number of Enclaves,Medium,28,603,29.6K,49.5K,59.9%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Matrix', 'Union Find']",[]
1021,Remove Outermost Parentheses,Easy,931,902,142.3K,179.3K,79.4%,"['Stack', 'String']",[]
1022,Sum of Root To Leaf Binary Numbers,Easy,98,1360,100.4K,139.6K,71.9%,"['Binary Tree', 'Depth-First Search', 'Tree']",[]
1023,Camelcase Matching,Medium,181,400,24.6K,42.5K,57.9%,"['String', 'String Matching', 'Trie', 'Two Pointers']",[]
1024,Video Stitching,Medium,39,817,35.2K,71.7K,49.1%,"['Array', 'Dynamic Programming', 'Greedy']",[]
1025,Divisor Game,Easy,2354,910,115.1K,173.8K,66.3%,"['Brainteaser', 'Dynamic Programming', 'Game Theory', 'Math']",[]
1026,Maximum Difference Between Node and Ancestor,Medium,42,1370,87.4K,124.5K,70.2%,"['Binary Tree', 'Depth-First Search', 'Tree']",[]
1027,Longest Arithmetic Subsequence,Medium,81,1433,66.7K,135.8K,49.1%,"['Array', 'Binary Search', 'Dynamic Programming', 'Hash Table']",[]
1028,Recover a Tree From Preorder Traversal,Hard,26,730,27.8K,38.9K,71.3%,"['Binary Tree', 'Depth-First Search', 'String', 'Tree']",[]
1029,Two City Scheduling,Medium,205,1967,117.2K,199.9K,58.6%,"['Array', 'Greedy', 'Sorting']",[]
1030,Matrix Cells in Distance Order,Easy,162,331,34.6K,50.5K,68.5%,"['Array', 'Geometry', 'Math', 'Matrix', 'Sorting']",[]
1031,Maximum Sum of Two Non-Overlapping Subarrays,Medium,55,1133,38.9K,65.9K,59.0%,"['Array', 'Dynamic Programming', 'Sliding Window']",[]
1032,Stream of Characters,Hard,123,858,48.8K,100.3K,48.7%,"['Array', 'Data Stream', 'Design', 'String', 'Trie']",[]
1033,Moving Stones Until Consecutive,Easy,544,118,17.5K,39.8K,43.8%,"['Brainteaser', 'Math']",[]
1034,Coloring A Border,Medium,403,218,14.8K,32.1K,46.2%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Matrix']","[('Island Perimeter', 'Easy')]"
1035,Uncrossed Lines,Medium,24,1242,55.8K,98.9K,56.5%,"['Array', 'Dynamic Programming']","[('Edit Distance', 'Hard')]"
1036,Escape a Large Maze,Hard,121,324,12.9K,37.6K,34.3%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Hash Table']",[]
1037,Valid Boomerang,Easy,305,171,25.8K,68.9K,37.4%,"['Geometry', 'Math']",[]
1038,Binary Search Tree to Greater Sum Tree,Medium,117,1742,89.9K,108K,83.3%,"['Binary Search Tree', 'Binary Tree', 'Depth-First Search', 'Tree']",[]
1039,Minimum Score Triangulation of Polygon,Medium,94,727,16.7K,32.7K,51.1%,"['Array', 'Dynamic Programming']",[]
1040,Moving Stones Until Consecutive II,Medium,441,255,6.8K,12.4K,54.8%,"['Array', 'Math', 'Sorting', 'Two Pointers']",[]
1041,Robot Bounded In Circle,Medium,389,1437,98.7K,180K,54.8%,"['Math', 'Simulation', 'String']",[]
1042,Flower Planting With No Adjacent,Medium,585,610,43.8K,89.3K,49.0%,"['Breadth-First Search', 'Depth-First Search', 'Graph']",[]
1043,Partition Array for Maximum Sum,Medium,163,1440,35K,51.2K,68.3%,"['Array', 'Dynamic Programming']",[]
1044,Longest Duplicate Substring,Hard,266,922,35.6K,114.8K,31.0%,"['Binary Search', 'Hash Function', 'Rolling Hash', 'Sliding Window', 'String', 'Suffix Array']",[]
1045,Customers Who Bought All Products,Medium,27,122,23.7K,35K,67.7%,['Database'],[]
1046,Last Stone Weight,Easy,39,1488,178.2K,285.3K,62.5%,"['Array', 'Heap (Priority Queue)']",[]
1047,Remove All Adjacent Duplicates In String,Easy,114,1969,185.5K,259.1K,71.6%,"['Stack', 'String']","[('Remove All Adjacent Duplicates in String II', 'Medium')]"
1048,Longest String Chain,Medium,116,2174,127.3K,226.1K,56.3%,"['Array', 'Dynamic Programming', 'Hash Table', 'String', 'Two Pointers']",[]
1049,Last Stone Weight II,Medium,53,1405,36.4K,76.5K,47.6%,"['Array', 'Dynamic Programming']",[]
1050,Actors and Directors Who Cooperated At Least Three Times,Easy,18,85,28.5K,39.4K,72.4%,['Database'],[]
1051,Height Checker,Easy,20,131,139.4K,190.5K,73.2%,"['Array', 'Counting Sort', 'Sorting']",[]
1052,Grumpy Bookstore Owner,Medium,77,837,43.1K,76.8K,56.1%,"['Array', 'Sliding Window']",[]
1053,Previous Permutation With One Swap,Medium,8,64,23.4K,45.1K,51.8%,"['Array', 'Greedy']",[]
1054,Distant Barcodes,Medium,29,631,24.1K,54K,44.6%,"['Array', 'Counting', 'Greedy', 'Hash Table', 'Heap (Priority Queue)', 'Sorting']",[]
1055,Shortest Way to Form String,Medium,42,674,46.3K,80.5K,57.5%,"['Dynamic Programming', 'Greedy', 'String']","[('Is Subsequence', 'Easy'), ('Number of Matching Subsequences', 'Medium')]"
1056,Confusing Number,Easy,86,129,20K,42.9K,46.6%,['Math'],"[('Confusing Number II', 'Hard'), ('Strobogrammatic Number', 'Easy')]"
1057,Campus Bikes,Medium,126,713,50.5K,87.1K,58.0%,"['Array', 'Greedy', 'Sorting']","[('Campus Bikes II', 'Medium')]"
1058,Minimize Rounding Error to Meet Target,Medium,100,112,5.9K,13.5K,43.9%,"['Array', 'Greedy', 'Math', 'String']",[]
1059,All Paths from Source Lead to Destination,Medium,56,333,20.5K,46.8K,43.8%,"['Depth-First Search', 'Graph']",[]
1060,Missing Element in Sorted Array,Medium,41,980,67.4K,122K,55.2%,"['Array', 'Binary Search']",[]
1061,Lexicographically Smallest Equivalent String,Medium,8,149,5.9K,8.8K,66.9%,"['String', 'Union Find']",[]
1062,Longest Repeating Substring,Medium,23,401,19.6K,33.3K,58.8%,"['Binary Search', 'Dynamic Programming', 'Hash Function', 'Rolling Hash', 'String', 'Suffix Array']",[]
1063,Number of Valid Subarrays,Hard,8,136,5.1K,7K,72.2%,"['Array', 'Monotonic Stack', 'Stack']",[]
1064,Fixed Point,Easy,50,216,25K,38.9K,64.2%,"['Array', 'Binary Search']",[]
1065,Index Pairs of a String,Easy,61,159,11.9K,19.5K,61.1%,"['Array', 'Sorting', 'String', 'Trie']",[]
1066,Campus Bikes II,Medium,43,548,30.6K,56.4K,54.3%,"['Array', 'Backtracking', 'Bit Manipulation', 'Bitmask', 'Dynamic Programming']","[('Campus Bikes', 'Medium')]"
1067,Digit Count in Range,Hard,13,50,2.3K,5.5K,41.7%,"['Dynamic Programming', 'Math']","[('Number of Digit One', 'Hard')]"
1068,Product Sales Analysis I,Easy,63,62,34.6K,42.4K,81.8%,['Database'],"[('Product Sales Analysis II', 'Easy')]"
1069,Product Sales Analysis II,Easy,108,39,29K,34.8K,83.2%,['Database'],"[('Product Sales Analysis I', 'Easy'), ('Product Sales Analysis III', 'Medium')]"
1070,Product Sales Analysis III,Medium,187,56,21K,41.8K,50.2%,['Database'],"[('Product Sales Analysis II', 'Easy')]"
1071,Greatest Common Divisor of Strings,Easy,202,880,52.1K,100.5K,51.8%,"['Math', 'String']",[]
1072,Flip Columns For Maximum Number of Equal Rows,Medium,32,397,14K,22.6K,62.0%,"['Array', 'Hash Table', 'Matrix']",[]
1073,Adding Two Negabinary Numbers,Medium,75,169,9.4K,27K,34.8%,"['Array', 'Math']",[]
1074,Number of Submatrices That Sum to Target,Hard,33,1233,40.3K,61.7K,65.3%,"['Array', 'Hash Table', 'Matrix', 'Prefix Sum']",[]
1075,Project Employees I,Easy,50,51,24.4K,36.7K,66.5%,['Database'],"[('Project Employees II', 'Easy')]"
1076,Project Employees II,Easy,28,95,25.3K,48.2K,52.5%,['Database'],"[('Project Employees I', 'Easy'), ('Project Employees III', 'Medium')]"
1077,Project Employees III,Medium,2,128,22.7K,28.9K,78.4%,['Database'],"[('Project Employees II', 'Easy')]"
1078,Occurrences After Bigram,Easy,258,263,42.3K,65.4K,64.7%,['String'],[]
1079,Letter Tile Possibilities,Medium,41,1177,52.7K,69.3K,76.1%,"['Backtracking', 'String']",[]
1080,Insufficient Nodes in Root to Leaf Paths,Medium,399,283,19.8K,39.2K,50.5%,"['Binary Tree', 'Depth-First Search', 'Tree']",[]
1081,Smallest Subsequence of Distinct Characters,Medium,119,1036,25.4K,47.1K,53.8%,"['Greedy', 'Monotonic Stack', 'Stack', 'String']","[('Find the Most Competitive Subsequence', 'Medium')]"
1082,Sales Analysis I,Easy,37,114,27.2K,36.5K,74.5%,['Database'],"[('Sales Analysis II', 'Easy')]"
1083,Sales Analysis II,Easy,23,133,26.8K,52.5K,51.0%,['Database'],"[('Sales Analysis I', 'Easy'), ('Sales Analysis III', 'Easy')]"
1084,Sales Analysis III,Easy,37,115,27.1K,49.7K,54.5%,['Database'],"[('Sales Analysis II', 'Easy')]"
1085,Sum of Digits in the Minimum Number,Easy,124,62,17.5K,23.2K,75.4%,"['Array', 'Math']","[('Add Digits', 'Easy')]"
1086,High Five,Easy,84,502,62.8K,82.1K,76.5%,"['Array', 'Hash Table', 'Sorting']",[]
1087,Brace Expansion,Medium,34,370,30K,47.3K,63.5%,"['Backtracking', 'Breadth-First Search', 'String']","[('Brace Expansion II', 'Hard'), ('Decode String', 'Medium'), ('Letter Case Permutation', 'Medium')]"
1088,Confusing Number II,Hard,80,282,23.4K,50.8K,46.1%,"['Backtracking', 'Math']","[('Confusing Number', 'Easy')]"
1089,Duplicate Zeros,Easy,368,1078,174.6K,339.1K,51.5%,"['Array', 'Two Pointers']",[]
1090,Largest Values From Labels,Medium,478,212,21.9K,36.4K,60.3%,"['Array', 'Counting', 'Greedy', 'Hash Table', 'Sorting']",[]
1091,Shortest Path in Binary Matrix,Medium,82,1360,95.7K,235.5K,40.6%,"['Array', 'Breadth-First Search', 'Matrix']",[]
1092,Shortest Common Supersequence ,Hard,31,1241,27.7K,51.1K,54.2%,"['Dynamic Programming', 'String']","[('Longest Common Subsequence', 'Medium')]"
1093,Statistics from a Large Sample,Medium,25,19,11.3K,23.6K,47.6%,"['Math', 'Probability and Statistics', 'Two Pointers']",[]
1094,Car Pooling,Medium,42,1363,77.1K,129.4K,59.6%,"['Array', 'Heap (Priority Queue)', 'Prefix Sum', 'Simulation', 'Sorting']","[('Meeting Rooms II', 'Medium')]"
1095,Find in Mountain Array,Hard,44,592,29.4K,81.5K,36.1%,"['Array', 'Binary Search', 'Interactive']","[('Minimum Number of Removals to Make Mountain Array', 'Hard'), ('Peak Index in a Mountain Array', 'Easy')]"
1096,Brace Expansion II,Hard,174,293,14.7K,23.4K,63.0%,"['Backtracking', 'Breadth-First Search', 'Stack', 'String']","[('Brace Expansion', 'Medium')]"
1097,Game Play Analysis V,Hard,22,82,9.6K,16.9K,56.8%,['Database'],"[('Game Play Analysis IV', 'Medium')]"
1098,Unpopular Books,Medium,254,104,17.6K,38.6K,45.6%,['Database'],[]
1099,Two Sum Less Than K,Easy,63,575,66K,108.9K,60.6%,"['Array', 'Binary Search', 'Sorting', 'Two Pointers']","[('3Sum Smaller', 'Medium'), ('Subarray Product Less Than K', 'Medium'), ('Two Sum', 'Easy'), ('Two Sum II - Input array is sorted', 'Easy')]"
1100,Find K-Length Substrings With No Repeated Characters,Medium,6,287,19.8K,27K,73.2%,"['Hash Table', 'Sliding Window', 'String']",[]
1101,The Earliest Moment When Everyone Become Friends,Medium,6,191,10.5K,15.5K,67.8%,"['Array', 'Union Find']","[('Number of Provinces', 'Medium')]"
1102,Path With Maximum Minimum Value,Medium,79,739,34K,66.2K,51.4%,"['Array', 'Breadth-First Search', 'Depth-First Search', 'Heap (Priority Queue)', 'Matrix', 'Union Find']","[('Path With Minimum Effort', 'Medium')]"
1103,Distribute Candies to People,Easy,157,577,60.1K,94.9K,63.4%,"['Math', 'Simulation']",[]
1104,Path In Zigzag Labelled Binary Tree,Medium,208,716,26.3K,35.6K,73.7%,"['Binary Tree', 'Math', 'Tree']",[]
1105,Filling Bookcase Shelves,Medium,58,963,25.9K,44.9K,57.7%,"['Array', 'Dynamic Programming']",[]
1106,Parsing A Boolean Expression,Hard,22,409,14.7K,24.6K,59.6%,"['Recursion', 'Stack', 'String']",[]
1107,New Users Daily Count,Medium,68,74,16.8K,36.5K,45.9%,['Database'],[]
1108,Defanging an IP Address,Easy,1268,782,340.6K,384.9K,88.5%,['String'],[]
1109,Corporate Flight Bookings,Medium,128,747,27.3K,49.9K,54.6%,"['Array', 'Prefix Sum']",[]
